Name;Year;Category;Countries;Gender;Description;Details
Marie Skłodowska-Curie;1903;Physics;France, Poland;Woman;"""In recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""";Born in Congress Poland, worked in France
Marie Skłodowska-Curie;1911;Chemistry;France, Poland;Woman;"""For her discovery of radium and polonium""";Born in Congress Poland, worked in France
May-Britt Moser;2014;Physiology or Medicine;Norway;Woman;"""For their discoveries of cells that constitute a positioning system in the brain""";
Mother Teresa;1979;Peace;India, North Macedonia;Woman;"""Leader of Missionaries of Charity, Calcutta.""";Born in then Ottoman Empire (now North Macedonia), worked in India
Nadia Murad;2018;Peace;Iraq;Woman;"""For their efforts to end the use of sexual violence as a weapon of war and armed conflict""";
Nadine Gordimer;1991;Literature;South Africa;Woman;"""Who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""";
Nelly Sachs;1966;Literature;Germany, Sweden;Woman;"""For her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength""";Born in Germany, worked in Sweden
Olga Tokarczuk;2018;Literature;Poland;Woman;“For a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life”;
Pearl S. Buck;1938;Literature;United States;Woman;"""For her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""";
Rigoberta Menchú;1992;Peace;Guatemala;Woman;"""In recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""";
Rita Levi-Montalcini;1986;Physiology or Medicine;Italy, United States;Woman;"""For their discoveries of growth factors""";Born in Italy, worked in the USA
Rosalyn Sussman Yalow;1977;Physiology or Medicine;United States;Woman;"""For the development of radioimmunoassays of peptide hormones""";
Selma Lagerlöf;1909;Literature;Sweden;Woman;"""In appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""";
Shirin Ebadi;2003;Peace;Iran;Woman;"""For her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""";
Sigrid Undset;1928;Literature;Norway;Woman;"""Principally for her powerful descriptions of Northern life during the Middle Ages""";
Svetlana Alexievich;2015;Literature;Belarus, Ukraine;Woman;"""For her polyphonic writings, a monument to suffering and courage in our time""";Born in Ukraine, worked in Belarus
Tawakkol Karman;2011;Peace;Yemen;Woman;"""For their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""";
Toni Morrison;1993;Literature;United States;Woman;"""Who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""";
Tu Youyou;2015;Physiology or Medicine;China;Woman;"""For her discoveries concerning a novel therapy against Malaria (artemisinin)""";
Wangari Maathai;2004;Peace;Kenya;Woman;"""For her contribution to sustainable development, democracy and peace""";
Wisława Szymborska;1996;Literature;Poland;Woman;"""For poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""";
14th Dalai Lama;1989;Tibet;Peace;Man;; born in Tibet
A. Michael Spence;2001;United States;Economics;Man;;
Aage Bohr;1975;Denmark;Physics;Man;;
Aaron Ciechanover;2004;Israel;Chemistry;Man;;
Aaron Klug;1982;Lithuania;Chemistry;Man;;
Aaron Klug;1982;South Africa;Chemistry;Man;;
Aaron Klug;1982;United Kingdom;Chemistry;Man;; born in Lithuania
Abdus Salam;1979;Pakistan;Physics;Man;; As Pakistani citizen born in then British India,  now Pakistan
Abhijit Banerjee;2019;India;Economics;Man;;
Abhijit Banerjee;2019;United States;Economics;Man;; born in India
Abiy Ahmed Ali;2019;Ethiopia;Peace;Man;;
Ada Yonath;2009;Israel;Chemistry;Woman;;
Adam G. Riess;2011;United States;Physics;Man;;
Adolf Butenandt;1939;Germany;Chemistry;Man;;
Adolf Otto Reinhold Windaus;1928;Germany;Chemistry;Man;;
Adolf von Baeyer;1905;Germany;Chemistry;Man;;
Adolfo Pérez Esquivel;1980;Argentina;Peace;Man;;
Ahmed H. Zewail;1999;United States;Chemistry;Man;; born in Egypt
Ahmed Zewail;1999;Egypt;Chemistry;Man;;
Akira Suzuki;2010;Japan;Chemistry;Man;;
Akira Yoshino;2019;Japan;Chemistry;Man;;
Al Gore;2007;United States;Peace;Man;;
Alan Heeger;2000;United States;Chemistry;Man;;
Alan Lloyd Hodgkin;1963;United Kingdom;Physiology or Medicine;Man;;
Alan MacDiarmid;2000;New Zealand;Chemistry;Man;;
Alan MacDiarmid;2000;United States;Chemistry;Man;; born in New Zealand
Albert A. Michelson;1907;Poland;Physics;Man;; born in Strelno,  North German Confederation (now in Poland)
Albert A. Michelson;1907;United States;Physics;Man;; born in then Germany,  now Poland
Albert Camus;1957;France;Literature;Man;; born in French Algeria
Albert Claude;1974;Belgium;Physiology or Medicine;Man;;
Albert Einstein;1921;Germany;Physics;Man;;
Albert Einstein;1921;Switzerland;Physics;Man;; born in Germany
Albert Fert;2007;France;Physics;Man;;
Albert Lutuli;1960;South Africa;Peace;Man;; born in then Rhodesia,  now Zimbabwe
Albert Schweitzer;1952;France;Peace;Man;; born in Alsace,  then in Germany
Albert Schweitzer;1952;Germany;Peace;Man;;
Albert Szent-Györgyi;1937;Hungary;Physiology or Medicine;Man;;
Albrecht Kossel;1910;Germany;Physiology or Medicine;Man;;
Aleksandr Solzhenitsyn;1970;Russia and Soviet Union;Literature;Man;;
Alexander Fleming;1945;United Kingdom;Physiology or Medicine;Man;;
Alexander Prokhorov;1964;Russia and Soviet Union;Physics;Man;; born in Australia
Alexander R. Todd;1957;United Kingdom;Chemistry;Man;; Baron Todd
Alexei Alexeyevich Abrikosov;2003;Russia and Soviet Union;Physics;Man;;
Alexei Alexeyevich Abrikosov;2003;United States;Physics;Man;; born in Russia
Alexis Carrel;1912;France;Physiology or Medicine;Man;;
Alfonso García Robles;1982;Mexico;Peace;Man;;
Alfred G. Gilman;1994;United States;Physiology or Medicine;Man;;
Alfred Hermann Fried;1911;Austria;Peace;Man;;
Alfred Hershey;1969;United States;Physiology or Medicine;Man;;
Alfred Kastler;1966;France;Physics;Man;;
Alfred Werner;1913;France;Chemistry;Man;;
Alfred Werner;1913;Switzerland;Chemistry;Man;;
Alice Munro;2013;Canada;Literature;Woman;;
Allan M. Cormack;1979;South Africa;Physiology or Medicine;Man;;
Allan M. Cormack;1979;United States;Physiology or Medicine;Man;; born in South Africa
Allvar Gullstrand;1911;Sweden;Physiology or Medicine;Man;;
Alva Myrdal;1982;Sweden;Peace;Woman;;
Alvin E. Roth;2012;United States;Economics;Man;;
Amartya Sen;1998;India;Economics;Man;;
American Friends Service Committee (The Quakers);1947;United States;Peace;Organization;;
Amnesty International;1977;United Kingdom;Peace;Organization;;
Anatole France;1921;France;Literature;Man;;
André F. Cournand;1956;United States;Physiology or Medicine;Man;; France
André Frédéric Cournand;1956;France;Physiology or Medicine;Man;;
Andre Geim;2010;Netherlands;Physics;Man;; born in Soviet Union,  now Russia
Andre Geim;2010;Russia and Soviet Union;Physics;Man;;
André Gide;1947;France;Literature;Man;;
André Lwoff;1965;France;Physiology or Medicine;Man;;
Andrei Sakharov;1975;Russia and Soviet Union;Peace;Man;;
Andrew Huxley;1963;United Kingdom;Physiology or Medicine;Man;;
Andrew Schally;1977;Poland;Physiology or Medicine;Man;; born in Wilno,  Poland (now Vilnius,  Lithuania)
Andrew Schally;1977;United States;Physiology or Medicine;Man;; born in then Poland,  now Lithuania
Andrew Z. Fire;2006;United States;Physiology or Medicine;Man;;
Angus Deaton;2015;United Kingdom;Economics;Man;;
Angus Deaton;2015;United States;Economics;Man;; born in United Kingdom
Anthony J. Leggett;2003;United Kingdom;Physics;Man;;
Anthony J. Leggett;2003;United States;Physics;Man;; born in United Kingdom
Antoine Henri Becquerel;1903;France;Physics;Man;;
António Egas Moniz;1949;Portugal;Physiology or Medicine;Man;;
Antony Hewish;1974;United Kingdom;Physics;Man;;
Anwar Sadat;1978;Egypt;Peace;Man;;
Archer John Porter Martin;1952;United Kingdom;Chemistry;Man;;
Archibald Vivian Hill;1922;United Kingdom;Physiology or Medicine;Man;;
Arieh Warshel;2013;Israel;Chemistry;Man;;
Arieh Warshel;2013;United States;Chemistry;Man;; born in Israel
Aristide Briand;1926;France;Peace;Man;;
Arne Tiselius;1948;Sweden;Chemistry;Man;;
Arno Penzias;1978;Germany;Physics;Man;;
Arno Penzias;1978;United States;Physics;Man;; born in Germany
Arthur Ashkin;2018;United States;Physics;Man;;
Arthur B. McDonald;2015;Canada;Physics;Man;;
Arthur H. Compton;1927;United States;Physics;Man;;
Arthur Harden;1929;United Kingdom;Chemistry;Man;;
Arthur Henderson;1934;United Kingdom;Peace;Man;;
Arthur Kornberg;1959;United States;Physiology or Medicine;Man;;
Arthur L. Schawlow;1981;United States;Physics;Man;;
Artturi Ilmari Virtanen;1945;Finland;Chemistry;Man;; born in the Grand Duchy of Finland,  a part of the Russian Empire in 1809–1917
Arvid Carlsson;2000;Sweden;Physiology or Medicine;Man;;
August Krogh;1920;Denmark;Physiology or Medicine;Man;;
Auguste Beernaert;1909;Belgium;Peace;Man;;
Aung San Suu Kyi;1991;Myanmar (Burma);Peace;Woman;;
Austen Chamberlain;1925;United Kingdom;Peace;Man;;
Avram Hershko;2004;Hungary;Chemistry;Man;; as an Israeli citizen
Avram Hershko;2004;Israel;Chemistry;Man;; born in Hungary
Aziz Sancar;2015;Turkey;Chemistry;Man;;
Aziz Sancar;2015;United States;Chemistry;Man;; born in Turkey
Barack H. Obama;2009;United States;Peace;Man;;
Barbara McClintock;1983;United States;Physiology or Medicine;Woman;;
Barry Barish;2017;United States;Physics;Man;;
Barry Marshall;2005;Australia;Physiology or Medicine;Man;;
Baruch S. Blumberg;1976;United States;Physiology or Medicine;Man;;
Baruj Benacerraf;1980;United States;Physiology or Medicine;Man;; born in Venezuela
Baruj Benacerraf;1980;Venezuela;Physiology or Medicine;Man;;
Ben Feringa;2016;Netherlands;Chemistry;Man;;
Ben Roy Mottelson;1975;Denmark;Physics;Man;; born in United States
Ben Roy Mottelson;1975;United States;Physics;Man;;
Bengt I. Samuelsson;1982;Sweden;Physiology or Medicine;Man;;
Bengt R. Holmström;2016;Finland;Economics;Man;;
Bernard Katz;1970;Germany;Physiology or Medicine;Man;;
Bernard Katz;1970;United Kingdom;Physiology or Medicine;Man;; born in Germany
Bernardo Houssay;1947;Argentina;Physiology or Medicine;Man;;
Bert Sakmann;1991;Germany;Physiology or Medicine;Man;;
Bertha von Suttner;1905;Czech Republic;Peace;Woman;;Born in the Austrian Empire, now Czech Republic
Bertil Ohlin;1977;Sweden;Economics;Man;;
Bertram Brockhouse;1994;Canada;Physics;Man;;
Bertrand Russell;1950;United Kingdom;Literature;Man;;
Betty Williams;1976;Ireland;Peace;Woman;;Born in North Ireland, part of the UK
Betty Williams;1976;United Kingdom;Peace;Woman;;Born in North Ireland, part of the UK
Bjørnstjerne Bjørnson;1903;Norway;Literature;Man;;
Bob Dylan;2016;United States;Literature;Man;;
Boris Pasternak;1958;Russia and Soviet Union;Literature;Man;;(forced to decline)
Brian David Josephson;1973;United Kingdom;Physics;Man;;
Brian K. Kobilka;2012;United States;Chemistry;Man;;
Brian P. Schmidt;2011;United States;Physics;Man;;
Brian Schmidt;2011;Australia;Physics;Man;; born in the United States
Bruce Beutler;2011;United States;Physiology or Medicine;Man;;
Bruce Merrifield;1984;United States;Chemistry;Man;;
Burton Richter;1976;United States;Physics;Man;;
C. V. Raman;1930;India;Physics;Man;;
Camillo Golgi;1906;Italy;Physiology or Medicine;Man;;
Camilo José Cela;1989;Spain;Literature;Man;;
Carl Anderson;1936;United States;Physics;Man;;
Carl Bosch;1931;Germany;Chemistry;Man;;
Carl E. Wieman;2001;United States;Physics;Man;;
Carl Ferdinand Cori;1947;Czech Republic;Physiology or Medicine;Man;; born in Prague,  Austria-Hungary,  now Czech Republic
Carl Ferdinand Cori;1947;United States;Physiology or Medicine;Man;; born in Austria
Carl Gustaf Verner von Heidenstam;1916;Sweden;Literature;Man;;
Carl Spitteler;1919;Switzerland;Literature;Man;;
Carl von Ossietzky;1935;Germany;Peace;Man;;
Carlo Rubbia;1984;Italy;Physics;Man;;
Carlos Filipe Ximenes Belo;1996;East Timor;Peace;Man;;
Carlos Filipe Ximenes Belo;1996;Portugal;Peace;Man;; born in then Portuguese Timor,  now East Timor
Carlos Saavedra Lamas;1936;Argentina;Peace;Man;;
Carol W. Greider;2009;United States;Physiology or Medicine;Woman;;
Cecil Frank Powell;1950;United Kingdom;Physics;Man;;
César Milstein;1984;Argentina;Physiology or Medicine;Man;;
César Milstein;1984;United Kingdom;Physiology or Medicine;Man;; born in Argentina
Charles Albert Gobat;1902;Switzerland;Peace;Man;;
Charles B. Huggins;1966;Canada;Physiology or Medicine;Man;;
Charles B. Huggins;1966;United States;Physiology or Medicine;Man;; born in Canada
Charles Édouard Guillaume;1920;Switzerland;Physics;Man;;
Charles G. Dawes;1925;United States;Peace;Man;;
Charles Glover Barkla;1917;United Kingdom;Physics;Man;;
Charles H. Townes;1964;United States;Physics;Man;;
Charles J. Pedersen;1987;United States;Chemistry;Man;; born in Korea
Charles K. Kao;2009;China, Republic of;Physics;Man;;
Charles K. Kao;2009;Hong Kong;Physics;Man;;
Charles K. Kao;2009;United Kingdom;Physics;Man;;
Charles K. Kao;2009;United States;Physics;Man;; born in China
Charles Louis Alphonse Laveran;1907;France;Physiology or Medicine;Man;;
Charles Nicolle;1928;France;Physiology or Medicine;Man;;
Charles Richet;1913;France;Physiology or Medicine;Man;;
Charles Scott Sherrington;1932;United Kingdom;Physiology or Medicine;Man;;
Charles Thomson Rees Wilson;1927;United Kingdom;Physics;Man;;
Chen Ning Yang;1957;United States;Physics;Man;; born in China
Chen-Ning Yang;1957;China, Republic of;Physics;Man;;
Christiaan Eijkman;1929;Netherlands;Physiology or Medicine;Man;;
Christian Anfinsen;1972;United States;Chemistry;Man;;
Christian de Duve;1974;Belgium;Physiology or Medicine;Man;; born in the United Kingdom
Christian de Duve;1974;United Kingdom;Physiology or Medicine;Man;;
Christian Lous Lange;1921;Norway;Peace;Man;;
Christiane Nüsslein-Volhard;1995;Germany;Physiology or Medicine;Woman;;
Christopher A. Pissarides;2010;Cyprus;Economics;Man;;
Christopher A. Pissarides;2010;United Kingdom;Economics;Man;; born in Cyprus
Christopher A. Sims;2011;United States;Economics;Man;;
Claude Cohen-Tannoudji;1997;France;Physics;Man;; born in French Algeria
Claude Simon;1985;France;Literature;Man;;
Clifford G. Shull;1994;United States;Physics;Man;;
Clinton Davisson;1937;United States;Physics;Man;;
Clive W. J. Granger;2003;United Kingdom;Economics;Man;;
Cordell Hull;1945;United States;Peace;Man;;
Corneille Heymans;1938;Belgium;Physiology or Medicine;Man;;
Craig C. Mello;2006;United States;Physiology or Medicine;Man;;
Cyril Norman Hinshelwood;1956;United Kingdom;Chemistry;Man;;
Czesław Miłosz;1980;Lithuania;Literature;Man;;
Czesław Miłosz;1980;Poland;Literature;Man;; born in Russian Empire,  now Lithuania
Czesław Miłosz;1980;United States;Literature;Man;; born in then Russian Empire,  now Lithuania
Dag Hammarskjöld;1961;Sweden;Peace;Man;;(posthumously)
Dale T. Mortensen;2010;United States;Economics;Man;;
Dan Shechtman;2011;Israel;Chemistry;Man;;
Daniel Bovet;1957;Italy;Physiology or Medicine;Man;; born in Switzerland
Daniel Bovet;1957;Switzerland;Physiology or Medicine;Man;;
Daniel C. Tsui;1998;China, People's Republic of;Physics;Man;;
Daniel C. Tsui;1998;United States;Physics;Man;; born in China
Daniel Carleton Gajdusek;1976;United States;Physiology or Medicine;Man;;
Daniel Kahneman;2002;Israel;Economics;Man;;
Daniel Kahneman;2002;United States;Economics;Man;; born in Israel
Daniel L. McFadden;2000;United States;Economics;Man;;
Daniel Nathans;1978;United States;Physiology or Medicine;Man;;
Dario Fo;1997;Italy;Literature;Man;;
David Baltimore;1975;United States;Physiology or Medicine;Man;;
David H. Hubel;1981;Canada;Physiology or Medicine;Man;;
David H. Hubel;1981;United States;Physiology or Medicine;Man;; born in Canada
David J. Gross;2004;United States;Physics;Man;;
David J. Thouless;2016;United Kingdom;Physics;Man;;
David J. Wineland;2012;United States;Physics;Man;;
David M. Lee;1996;United States;Physics;Man;;
David Trimble;1998;Ireland;Peace;Man;;
David Trimble;1998;United Kingdom;Peace;Man;;
Denis Mukwege;2018;Congo, Democratic Republic;Peace;Man;;
Dennis Gabor;1971;Hungary;Physics;Man;;
Dennis Gabor;1971;United Kingdom;Physics;Man;; born in Hungary
Derek Harold Richard Barton;1969;United Kingdom;Chemistry;Man;;
Derek Walcott;1992;Saint Lucia;Literature;Man;;
Desmond Tutu;1984;South Africa;Peace;Man;;
Dickinson W. Richards;1956;United States;Physiology or Medicine;Man;;
Didier Queloz;2019;Switzerland;Physics;Man;;
Dominique Pire;1958;Belgium;Peace;Man;;
Donald A. Glaser;1960;United States;Physics;Man;;
Donald J. Cram;1987;United States;Chemistry;Man;;
Donna Strickland;2018;Canada;Physics;Woman;;
Doris Lessing;2007;Iran;Literature;Woman;;Born in Iran, worked in the UK
Doris Lessing;2007;United Kingdom;Literature;Woman;;Born in Iran, worked in the UK
Dorothy Hodgkin;1964;United Kingdom;Chemistry;Woman;;
Douglas D. Osheroff;1996;United States;Physics;Man;;
Douglass C. North;1993;United States;Economics;Man;;
Dudley R. Herschbach;1986;United States;Chemistry;Man;;
E. Donnall Thomas;1990;United States;Physiology or Medicine;Man;;
E. M. Purcell;1952;United States;Physics;Man;;
Earl W. Sutherland Jr.;1971;United States;Physiology or Medicine;Man;;
Edgar Adrian;1932;United Kingdom;Physiology or Medicine;Man;; 1st Baron Adrian
Edmond H. Fischer;1992;United States;Physiology or Medicine;Man;; born in China
Edmond H. Fischer;1992;Switzerland;Physiology or Medicine;Man;;
Edmund S. Phelps;2006;United States;Economics;Man;;
Eduard Buchner;1907;Germany;Chemistry;Man;;
Edvard Moser;2014;Norway;Physiology or Medicine;Man;;
Edward A. Doisy;1943;United States;Physiology or Medicine;Man;;
Edward B. Lewis;1995;United States;Physiology or Medicine;Man;;
Edward C. Kendall;1950;United States;Physiology or Medicine;Man;;
Edward C. Prescott;2004;United States;Economics;Man;;
Edward Tatum;1958;United States;Physiology or Medicine;Man;;
Edward Victor Appleton;1947;United Kingdom;Physics;Man;;
Edwin G. Krebs;1992;United States;Physiology or Medicine;Man;;
Edwin M. McMillan;1951;United States;Chemistry;Man;;
Ei-ichi Negishi;2010;Japan;Chemistry;Man;; Born in China
Ei-ichi Negishi;2010;United States;Chemistry;Man;; Japanese citizenship
Eisaku Satō;1974;Japan;Peace;Man;;
Elfriede Jelinek;2004;Austria;Literature;Woman;;
Elias Canetti;1981;Bulgaria;Literature;Man;;
Elias Canetti;1981;United Kingdom;Literature;Man;; born in Bulgaria
Elias James Corey;1990;United States;Chemistry;Man;;
Élie Ducommun;1902;Switzerland;Peace;Man;;
Élie Metchnikoff;1908;Russia and Soviet Union;Physiology or Medicine;Man;; born in now Ukraine
Elie Wiesel;1986;Romania;Peace;Man;;
Elie Wiesel;1986;United States;Peace;Man;; born in Romania
Elihu Root;1912;United States;Peace;Man;;
Elinor Ostrom;2009;United States;Economics;Woman;;
Elizabeth Blackburn;2009;Australia;Physiology or Medicine;Woman;;Born in Australia, worked in the US
Elizabeth Blackburn;2009;United States;Physiology or Medicine;Woman;;Born in Australia, worked in the US
Ellen Johnson Sirleaf;2011;Liberia;Peace;Woman;;
Emil Adolf von Behring;1901;Germany;Physiology or Medicine;Man;;
Emilio Segrè;1959;Italy;Physics;Man;;
Emilio Segrè;1959;United States;Physics;Man;; born in Italy
Emily Greene Balch;1946;United States;Peace;Woman;;
Enrico Fermi;1938;Italy;Physics;Man;;
Eric A. Cornell;2001;United States;Physics;Man;;
Eric Betzig;2014;United States;Chemistry;Man;;
Eric F. Wieschaus;1995;United States;Physiology or Medicine;Man;;
Eric Kandel;2000;Austria;Physiology or Medicine;Man;;
Eric Kandel;2000;United States;Physiology or Medicine;Man;; born in Austria
Eric S. Maskin;2007;United States;Economics;Man;;
Erik Axel Karlfeldt;1931;Sweden;Literature;Man;;(posthumously)
Ernest Hemingway;1954;United States;Literature;Man;;
Ernest Lawrence;1939;United States;Physics;Man;;
Ernest Rutherford;1908;New Zealand;Chemistry;Man;;
Ernest Rutherford;1908;United Kingdom;Chemistry;Man;; born in New Zealand
Ernest Rutherford;1908;Canada;Chemistry;Man;; born in New Zealand
Ernest Walton;1951;Ireland;Physics;Man;;
Ernesto Teodoro Moneta;1907;Italy;Peace;Man;;
Ernst Boris Chain;1945;Germany;Physiology or Medicine;Man;;
Ernst Boris Chain;1945;United Kingdom;Physiology or Medicine;Man;; born in Germany
Ernst Otto Fischer;1973;Germany;Chemistry;Man;;
Ernst Ruska;1986;Germany;Physics;Man;;
Erwin Neher;1991;Germany;Physiology or Medicine;Man;;
Erwin Schrödinger;1933;Austria;Physics;Man;;
Esther Duflo;2019;France;Economics;Woman;;Born in France, worked in the US
Esther Duflo;2019;United States;Economics;Woman;;Born in France, worked in the US
Eugene F. Fama;2013;United States;Economics;Man;;
Eugene O'Neill;1936;United States;Literature;Man;;
Eugene Wigner;1963;Hungary;Physics;Man;;
Eugene Wigner;1963;United States;Physics;Man;; born in Hungary
Eugenio Montale;1975;Italy;Literature;Man;;
Eyvind Johnson;1974;Sweden;Literature;Man;;
F. Duncan M. Haldane;2016;United Kingdom;Physics;Man;;
F. Duncan M. Haldane;2016;United States;Physics;Man;; born in United Kingdom
F. Sherwood Rowland;1995;United States;Chemistry;Man;;
F. W. de Klerk;1993;South Africa;Peace;Man;;
Felix Bloch;1952;Switzerland;Physics;Man;;
Felix Bloch;1952;United States;Physics;Man;; born in Switzerland
Feodor Felix Konrad Lynen;1964;Germany;Physiology or Medicine;Man;;
Ferdinand Buisson;1927;France;Peace;Man;;
Ferid Murad;1998;United States;Physiology or Medicine;Man;;
Finn E. Kydland;2004;Norway;Economics;Man;;
Frances H. Arnold;2018;United States;Chemistry;Woman;;
Francis Crick;1962;United Kingdom;Physiology or Medicine;Man;;
Francis Peyton Rous;1966;United States;Physiology or Medicine;Man;;
Francis William Aston;1922;United Kingdom;Chemistry;Man;;
Franco Modigliani;1985;Italy;Economics;Man;;
Franco Modigliani;1985;United States;Economics;Man;; born in Italy
François Englert;2013;Belgium;Physics;Man;;
François Jacob;1965;France;Physiology or Medicine;Man;;
François Mauriac;1952;France;Literature;Man;;
Françoise Barré-Sinoussi;2008;France;Physiology or Medicine;Woman;;
Frank B. Kellogg;1929;United States;Peace;Man;;
Frank Wilczek;2004;United States;Physics;Man;;
Frans Eemil Sillanpää;1939;Finland;Literature;Man;; born in the Grand Duchy of Finland,  a part of the Russian Empire in 1809–1917
Fraser Stoddart;2016;United Kingdom;Chemistry;Man;;
Fraser Stoddart;2016;United States;Chemistry;Man;; born in United Kingdom
Frédéric Joliot-Curie;1935;France;Chemistry;Man;;
Frédéric Mistral;1904;France;Literature;Man;;
Frédéric Passy;1901;France;Peace;Man;;
Frederick C. Robbins;1954;United States;Physiology or Medicine;Man;;
Frederick G. Banting;1923;Canada;Physiology or Medicine;Man;;
Frederick Hopkins;1929;United Kingdom;Physiology or Medicine;Man;;
Frederick Reines;1995;United States;Physics;Man;;
Frederick Sanger;1958;United Kingdom;Chemistry;Man;;
Frederick Sanger;1980;United Kingdom;Chemistry;Man;;
Frederick Soddy;1921;United Kingdom;Chemistry;Man;;
Fredrik Bajer;1908;Denmark;Peace;Man;;
Friderik Pregl;1923;Slovenia;Chemistry;Man;; born in Austria-Hungary,  now Slovenia
Fridtjof Nansen;1922;Norway;Peace;Man;;
Friedrich Bergius;1931;Germany;Chemistry;Man;;
Friedrich Hayek;1974;Austria;Economics;Man;;
Friedrich Hayek;1974;United Kingdom;Economics;Man;; born in Austria
Friends Service Council;1947;United Kingdom;Peace;Organization;;
Frits Zernike;1953;Netherlands;Physics;Man;;
Fritz Albert Lipmann;1953;Germany;Physiology or Medicine;Man;;
Fritz Albert Lipmann;1953;United States;Physiology or Medicine;Man;; born in then Germany,  now Russia
Fritz Haber;1918;Germany;Chemistry;Man;;
Fritz Pregl;1923;Austria;Chemistry;Man;; born in Austria-Hungary,  now Slovenia
Gabriel García Márquez;1982;Colombia;Literature;Man;;
Gabriel Lippmann;1908;France;Physics;Man;; born in Luxembourg
Gabriel Lippmann;1908;Luxembourg;Physics;Man;;
Gabriela Mistral;1945;Chile;Literature;Woman;;
Gao Xingjian;2000;China, People's Republic of;Literature;Man;;
Gao Xingjian;2000;France;Literature;Man;; born in China
Gary S. Becker;1992;United States;Economics;Man;;
Geoffrey Wilkinson;1973;United Kingdom;Chemistry;Man;;
Georg von Békésy;1961;Hungary;Physiology or Medicine;Man;;
Georg von Békésy;1961;United States;Physiology or Medicine;Man;; born in Hungary
Georg Wittig;1979;Germany;Chemistry;Man;;
George A. Akerlof;2001;United States;Economics;Man;;
George Andrew Olah;1994;Hungary;Chemistry;Man;;
George Andrew Olah;1994;United States;Chemistry;Man;; born in Hungary
George Beadle;1958;United States;Physiology or Medicine;Man;;
George Bernard Shaw;1925;Ireland;Literature;Man;;
George Bernard Shaw;1925;United Kingdom;Literature;Man;; born in Ireland
George C. Marshall;1953;United States;Peace;Man;;
George D. Snell;1980;United States;Physiology or Medicine;Man;;
George de Hevesy;1943;Hungary;Chemistry;Man;;
George E. Palade;1974;Romania;Physiology or Medicine;Man;;
George E. Palade;1974;United States;Physiology or Medicine;Man;; born in Romania
George E. Smith;2009;United States;Physics;Man;;
George F. Smoot;2006;United States;Physics;Man;;
George H. Hitchings;1988;United States;Physiology or Medicine;Man;;
George H. Whipple;1934;United States;Physiology or Medicine;Man;;
George J. Stigler;1982;United States;Economics;Man;;
George P. Smith;2018;United States;Chemistry;Man;;
George Paget Thomson;1937;United Kingdom;Physics;Man;;
George Porter;1967;United Kingdom;Chemistry;Man;;
George R. Minot;1934;United States;Physiology or Medicine;Man;;
George Wald;1967;United States;Physiology or Medicine;Man;;
Georges Charpak;1992;France;Physics;Man;; born in then Poland (Second Polish Republic),  now Ukraine
Georges Charpak;1992;Poland;Physics;Man;; born in Dąbrowica Poland (now in Ukraine)
Georges Charpak;1992;Ukraine;Physics;Man;;
Georges J. F. Köhler;1984;Switzerland;Physiology or Medicine;Man;; born in Germany (worked in Switzerland for 1976 to 1984)
Georges J. F. Köhler;1984;Germany;Physiology or Medicine;Man;;
Gerald Edelman;1972;United States;Physiology or Medicine;Man;;
Gérard Debreu;1983;France;Economics;Man;;
Gérard Debreu;1983;United States;Economics;Man;; born in France
Gérard Mourou;2018;France;Physics;Man;;
Gerard 't Hooft;1999;Netherlands;Physics;Man;;
Gerd Binnig;1986;Germany;Physics;Man;;
Gerhard Domagk;1939;Germany;Physiology or Medicine;Man;;
Gerhard Ertl;2007;Germany;Chemistry;Man;;
Gerhard Herzberg;1971;Canada;Chemistry;Man;; born in Germany
Gerhard Herzberg;1971;Germany;Chemistry;Man;;
Gerhart Hauptmann;1912;Germany;Literature;Man;; born in Prussia,  now Poland
Gertrude B. Elion;1988;United States;Physiology or Medicine;Woman;;
Gerty Cori;1947;Czech Republic;Physiology or Medicine;Woman;;Born in the Austrian Empire (now Czech Republic), worked in the US
Gerty Cori;1947;United States;Physiology or Medicine;Woman;;Born in the Austrian Empire (now Czech Republic), worked in the US
Giorgos Seferis;1963;Greece;Literature;Man;;
Giosuè Carducci;1906;Italy;Literature;Man;;
Giulio Natta;1963;Italy;Chemistry;Man;;
Glenn Theodore Seaborg;1951;United States;Chemistry;Man;;
Godfrey Hounsfield;1979;United Kingdom;Physiology or Medicine;Man;;
Grameen Bank;2006;Bangladesh;Peace;Organization;;
Grazia Deledda;1926;Italy;Literature;Woman;;
Greg Winter;2018;United Kingdom;Chemistry;Man;;
Gregg L. Semenza;2019;United States;Physiology or Medicine;Man;;
Guglielmo Marconi;1909;Italy;Physics;Man;;
